00:00:27.316 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:34:37.384 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:35:36.600 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:36:37.878 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:37:36.955 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:38:38.197 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:39:37.984 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:40:38.937 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:41:38.103 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:42:40.907 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:43:39.772 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:44:41.564 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:45:39.600 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:46:37.946 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:47:40.249 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:48:39.727 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:49:38.887 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:50:41.317 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:51:41.500 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:52:43.532 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:53:42.472 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:54:41.950 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:55:44.117 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:56:45.994 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:57:43.286 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:58:43.707 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
00:59:45.761 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:00:46.271 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:01:43.622 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:02:45.763 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:03:45.783 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:04:45.205 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:05:45.862 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:06:45.563 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:07:44.864 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:08:44.817 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:09:47.482 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:10:47.376 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:11:48.463 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:12:46.629 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:13:48.244 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:14:47.268 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:15:48.429 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:16:45.172 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:17:45.776 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:18:45.953 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:19:46.051 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:20:46.868 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:21:48.523 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:22:47.695 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:23:49.300 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:24:49.944 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:25:50.164 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:26:48.231 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:27:50.633 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:28:49.348 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:29:50.225 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:30:51.753 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:31:48.837 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:32:50.688 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:33:50.589 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:34:50.246 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:35:52.738 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:36:50.436 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:37:52.830 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:38:51.114 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:39:51.410 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:40:54.573 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:41:54.715 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:42:54.472 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:43:52.894 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:44:53.624 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:45:54.150 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:46:56.692 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:47:53.207 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:48:55.044 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:49:53.901 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:50:56.111 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:51:55.455 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:52:57.181 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:53:54.525 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:54:55.268 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:55:56.022 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:56:55.826 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:57:58.764 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:58:55.537 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
01:59:55.747 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:01:00.776 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:01:59.902 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:03:00.784 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:03:59.074 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:04:59.307 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:05:59.666 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:06:58.703 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:08:03.051 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:09:02.183 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:10:02.559 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:11:05.359 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:12:03.719 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:13:05.275 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:14:04.383 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:15:05.693 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:16:04.842 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:17:05.746 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:18:03.830 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:19:04.996 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:20:05.559 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:21:04.993 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:22:06.392 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:23:05.919 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:24:06.667 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:25:06.286 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:26:08.165 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:27:08.682 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:28:05.634 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:29:07.908 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:30:07.482 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
02:31:09.554 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
